datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_bayes_u_prop_sites_avail,OGI_bayes_u_cost,OGI_bayes_u_sites_visited,OGI_bayes_u_travel_time,OGI_bayes_u_survey_time,OGI_bayes_u_redund_tags,OGI_bayes_u_missed_leaks,OGI_bayes_u_sites_vis_w_leaks,OGI_bayes_u_eff_flags,OGI_bayes_u_n_tags,OGI_bayes_u_flags_redund1,OGI_bayes_u_flags_redund2,OGI_bayes_u_flag_wo_vent
2023-02-04,18233,51.0,51.0,2397.431693989071,0.0,1774.0,76367.51594269213,15200.0,600.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-05,18226,53.0,53.0,2454.275956284153,0.0,1813.0,76407.12579654097,11400.0,200.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
2023-02-06,18240,55.0,55.0,2526.0792349726776,0.0,1867.0,76402.7281705201,14400.0,600.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-07,18241,45.0,45.0,2586.9125683060106,0.0,1910.0,76444.76201784132,12200.0,200.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-02-08,18243,51.0,51.0,2641.762295081967,0.0,1947.0,76424.24525224106,11000.0,1000.0,6400.0,0.0,0.0,32.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,71.0,0.0,0.0,0.0
2023-02-09,18257,51.0,51.0,2714.5628415300544,0.0,2002.0,76264.80271523558,14600.0,1200.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,75.0,0.0,0.0,0.0
2023-02-10,18253,57.0,57.0,2773.401639344262,0.0,2043.0,76332.23854786465,11800.0,800.0,7400.0,0.0,0.0,37.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-11,18269,39.0,39.0,2856.174863387978,0.0,2108.0,76250.05046106575,16600.0,200.0,12800.0,0.0,0.0,64.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-02-12,18243,51.0,51.0,2930.9699453551916,0.0,2165.0,76298.77691259077,15000.0,0.0,11400.0,0.0,0.0,57.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0
2023-02-13,18237,41.0,41.0,2999.781420765027,0.0,2216.0,76076.52427327415,13800.0,600.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,79.0,0.0,0.0,0.0
2023-02-14,18227,54.0,54.0,3084.549180327869,0.0,2283.0,76026.71334025226,17000.0,800.0,12600.0,0.0,0.0,63.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-15,18214,49.0,49.0,3161.338797814208,0.0,2342.0,75962.06236075146,15400.0,800.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,58.0,0.0,0.0,0.0
2023-02-16,18204,54.0,54.0,3247.1038251366117,0.0,2410.0,75839.38090866276,17200.0,1200.0,12400.0,0.0,0.0,62.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-02-17,18190,48.0,48.0,3313.9207650273224,0.0,2459.0,76002.72663420836,13400.0,1000.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0
2023-02-18,18189,51.0,51.0,3400.6830601092893,0.0,2528.0,75866.49822625484,17400.0,400.0,13400.0,0.0,0.0,67.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-02-19,18171,37.0,37.0,3479.467213114754,0.0,2589.0,75823.74593840283,15800.0,200.0,12000.0,0.0,0.0,60.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-02-20,18147,50.0,50.0,3547.281420765027,0.0,2639.0,75623.82427638704,13600.0,600.0,9400.0,0.0,0.0,47.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,0.0
2023-02-21,18147,55.0,55.0,3612.1038251366117,0.0,2686.0,75572.20373472753,13000.0,800.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-22,18155,30.0,30.0,3689.890710382514,0.0,2746.0,75323.33564669787,15600.0,1000.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,0.0
2023-02-23,18125,43.0,43.0,3746.7349726775956,0.0,2785.0,75280.0935936023,11400.0,400.0,7400.0,0.0,0.0,37.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-02-24,18129,41.0,41.0,3816.543715846995,0.0,2837.0,75008.76526035201,14000.0,400.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-02-25,18118,49.0,49.0,3889.344262295082,0.0,2892.0,75011.13776918614,14600.0,600.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-02-26,18112,47.0,47.0,3955.16393442623,0.0,2940.0,75041.485637295,13200.0,400.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,0.0
2023-02-27,18111,59.0,59.0,4029.959016393442,0.0,2997.0,74317.32760064816,15000.0,800.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-02-28,18113,47.0,47.0,4123.70218579235,0.0,3073.0,74105.52069509048,18800.0,1000.0,14200.0,0.0,0.0,71.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,75.0,0.0,0.0,0.0
2023-03-01,18084,38.0,38.0,4193.5109289617485,0.0,3125.0,73959.3372745972,14000.0,200.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-03-02,18070,44.0,44.0,4252.349726775956,0.0,3166.0,73914.01430189307,11800.0,0.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,77.0,0.0,0.0,0.0
2023-03-03,18073,63.0,63.0,4311.188524590164,0.0,3207.0,73922.48364812479,11800.0,400.0,7800.0,0.0,0.0,39.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,75.0,0.0,0.0,0.0
2023-03-04,18095,49.0,49.0,4378.005464480875,0.0,3256.0,73723.16706150798,13400.0,600.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,58.0,0.0,0.0,0.0
2023-03-05,18095,50.0,50.0,4443.825136612021,0.0,3304.0,73725.19491010084,13200.0,400.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-03-06,18097,34.0,34.0,4506.65300546448,0.0,3349.0,73512.86068935653,12600.0,800.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-03-07,18086,48.0,48.0,4581.448087431694,0.0,3406.0,73334.23968269264,15000.0,600.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,0.0
2023-03-08,18077,46.0,46.0,4650.25956284153,0.0,3457.0,72947.59478748913,13800.0,1000.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0
2023-03-09,18072,44.0,44.0,4724.057377049181,0.0,3513.0,72919.70908219393,14800.0,600.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,57.0,0.0,0.0,0.0
2023-03-10,18060,50.0,50.0,4791.871584699454,0.0,3563.0,72720.16464744965,13600.0,600.0,9400.0,0.0,0.0,47.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,75.0,0.0,0.0,0.0
2023-03-11,18060,48.0,48.0,4863.674863387979,0.0,3617.0,72634.3127497467,14400.0,600.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-03-12,18054,50.0,50.0,4946.448087431694,0.0,3682.0,72361.15303509156,16600.0,800.0,12200.0,0.0,0.0,61.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-03-13,18039,49.0,49.0,5009.275956284153,0.0,3727.0,72231.21911116672,12600.0,200.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-03-14,18043,56.0,56.0,5081.079234972678,0.0,3781.0,72340.88565187203,14400.0,600.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-03-15,18045,45.0,45.0,5152.882513661202,0.0,3835.0,72237.87644048157,14400.0,600.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,77.0,0.0,0.0,0.0
2023-03-16,18036,60.0,60.0,5222.691256830601,0.0,3887.0,72693.9545812258,14000.0,200.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-03-17,18044,43.0,43.0,5299.480874316939,0.0,3946.0,72337.87463958534,15400.0,200.0,11600.0,0.0,0.0,58.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,60.0,0.0,0.0,0.0
2023-03-18,18028,54.0,54.0,5367.295081967213,0.0,3996.0,72291.1031540065,13600.0,400.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0
2023-03-19,18032,52.0,52.0,5433.11475409836,0.0,4044.0,72019.96997850302,13200.0,800.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,82.0,0.0,0.0,0.0
2023-03-20,18036,36.0,36.0,5505.915300546448,0.0,4099.0,71945.5645938364,14600.0,600.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0
2023-03-21,18017,55.0,55.0,5573.729508196722,0.0,4149.0,71844.40592220915,13600.0,600.0,9400.0,0.0,0.0,47.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-03-22,18022,45.0,45.0,5635.560109289617,0.0,4193.0,71771.58096710272,12400.0,600.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,77.0,0.0,0.0,0.0
2023-03-23,18023,53.0,53.0,5704.371584699455,0.0,4244.0,71639.21286777731,13800.0,400.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,60.0,0.0,0.0,0.0
2023-03-24,18025,49.0,49.0,5770.191256830601,0.0,4292.0,71592.01284605806,13200.0,400.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,83.0,0.0,0.0,0.0
2023-03-25,18026,51.0,51.0,5828.032786885246,0.0,4344.0,71572.5974922326,11600.0,1000.0,9400.0,0.0,0.0,47.0,1.0,1200.0,2.0,90.0,240.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0
2023-03-26,18025,48.0,48.0,5885.874316939891,0.0,4402.0,71449.17337649227,11600.0,600.0,11000.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-27,18015,39.0,39.0,5942.718579234972,0.0,4459.0,70932.82088586439,11400.0,1000.0,10400.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-28,17997,48.0,48.0,5992.581967213116,0.0,4509.0,69905.60515183044,10000.0,800.0,9200.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,17995,63.0,63.0,6057.404371584699,0.0,4574.0,69863.64077457415,13000.0,1200.0,11800.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-30,17993,49.0,49.0,6116.243169398907,0.0,4633.0,69631.02024888403,11800.0,1600.0,10200.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,17983,57.0,57.0,6190.040983606557,0.0,4707.0,69393.10805046567,14800.0,2200.0,12600.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,17966,57.0,57.0,6245.887978142077,0.0,4763.0,69142.12144070503,11200.0,2600.0,8600.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-02,17967,51.0,51.0,6318.688524590164,0.0,4836.0,68665.52562415086,14600.0,3200.0,11400.0,0.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,17945,52.0,52.0,6382.513661202185,0.0,4900.0,68531.17152516966,12800.0,3400.0,9400.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,17933,54.0,54.0,6446.338797814207,0.0,4964.0,68320.72319139213,12800.0,4200.0,8600.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,17923,52.0,52.0,6524.125683060109,0.0,5042.0,68070.15127724515,15600.0,5200.0,10400.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,17897,56.0,56.0,6600.915300546448,0.0,5119.0,67452.39055894823,15400.0,5600.0,9800.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-07,17876,48.0,48.0,6681.693989071038,0.0,5200.0,66794.79783607238,16200.0,6200.0,10000.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-08,17843,43.0,43.0,6756.4890710382515,0.0,5275.0,66202.45272941828,15000.0,7200.0,7800.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-09,17811,58.0,58.0,6839.262295081967,0.0,5358.0,65621.94249417112,16600.0,8000.0,8600.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-10,17786,53.0,53.0,6945.969945355191,0.0,5465.0,64806.7005945829,21400.0,9200.0,12200.0,0.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-11,17732,44.0,44.0,7046.693989071038,0.0,5566.0,63927.83983271258,20200.0,10000.0,10200.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-12,17675,46.0,46.0,7135.450819672132,0.0,5655.0,63196.45724818738,17800.0,10000.0,7800.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,17632,63.0,63.0,7242.158469945355,0.0,5762.0,62645.23477965466,21400.0,10000.0,11400.0,0.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-14,17588,45.0,45.0,7352.855191256831,0.0,5873.0,61829.2165562133,22200.0,9800.0,12400.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-15,17522,35.0,35.0,7448.592896174863,0.0,5969.0,60923.796766893174,19200.0,10000.0,9200.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-16,17461,48.0,48.0,7541.338797814207,0.0,6062.0,60467.40033474554,18600.0,10000.0,8600.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
